spend_sum_7d,spend_mean_7d,spend_std_7d,spend_max_7d,day_count_7d,spend_sum_30d,spend_mean_30d,spend_std_30d,spend_max_30d,day_count_30d,unique_category_count_30d,cat_spend_ratio_convenience_30d,cat_spend_ratio_cafe_30d,cat_spend_ratio_food_30d,cat_spend_ratio_transport_30d,cat_spend_ratio_shopping_30d,cat_spend_ratio_housing_30d,cat_spend_ratio_entertainment_30d,cat_spend_ratio_subscription_30d,cat_spend_ratio_other_30d,user_id,date,housing_type,label_fhi
525300.0,14197.297297297297,21344.17429836961,114200.0,7.0,525300.0,14197.297297297297,21344.17429836961,114200.0,7.0,8.0,0.0205596801827527,0.1071768513230534,0.2090234151913192,0.0232248239101465,0.4309918142014087,0.173043974871502,0.0,0.0112316771368741,0.024747763182943,3,2026-01-07,home,0.0
157200.0,6288.0,4056.926915782437,17800.0,7.0,682500.0,11008.064516129032,17133.72733479013,114200.0,14.0,9.0,0.0652014652014652,0.1638095238095238,0.2189010989010989,0.0395604395604395,0.3317216117216117,0.1331868131868132,0.0199267399267399,0.0086446886446886,0.019047619047619,3,2026-01-14,home,68.79811616954474
159600.0,9388.235294117649,6953.1103791495125,26400.0,6.0,842100.0,10659.493670886077,15531.874282615494,114200.0,20.0,9.0,0.0624628903930649,0.147250920318252,0.260301626885168,0.044531528322052,0.3002018762617266,0.107944424652654,0.0429877686735542,0.01888136800855,0.015437596484978,3,2026-01-21,home,65.83184894905592
62900.0,6988.888888888889,5329.2577019995,17800.0,3.0,867200.0,10323.809523809525,15129.918476534363,114200.0,23.0,9.0,0.0650369003690036,0.1435654981549815,0.2324723247232472,0.0465867158671586,0.2915129151291513,0.104820110701107,0.0622693726937269,0.0296356088560885,0.024100553505535,3,2026-01-31,home,95.0
306700.0,16142.105263157897,25199.27559087184,109300.0,7.0,645800.0,9638.805970149251,14768.31981696238,109300.0,23.0,9.0,0.1031279033756581,0.0929080210591514,0.2449674821926293,0.0486218643542892,0.0997212759368225,0.2841436977392381,0.0836172189532363,0.0306596469495199,0.0122328894394549,3,2026-02-07,home,0.0
292800.0,11712.0,17325.89553241044,83100.0,7.0,831000.0,11871.42857142857,17403.588651746046,109300.0,23.0,9.0,0.0872442839951865,0.0505415162454873,0.2488567990373044,0.0308062575210589,0.1774969915764139,0.2814681107099879,0.0666666666666666,0.0314079422382671,0.0255114320096269,3,2026-02-14,home,24.29602888086643
203800.0,8152.0,5971.071595618328,32400.0,7.0,880400.0,11005.0,16440.923787914107,109300.0,25.0,9.0,0.0731485688323489,0.0982507950931394,0.2687414811449341,0.0280554293502953,0.1375511131303952,0.2656746933212176,0.0449795547478418,0.0463425715583825,0.0372557928214448,3,2026-02-21,home,50.633478289089375
126100.0,6305.0,5752.084404804922,21700.0,6.0,929400.0,10442.696629213484,15812.758947671962,109300.0,27.0,9.0,0.0944695502474714,0.0973746503120292,0.2718958467828706,0.0370131267484398,0.1536475145255003,0.2516677426296535,0.0234559931138368,0.043684097267054,0.0267914783731439,3,2026-02-28,home,78.24817854837222
549700.0,18323.33333333333,23521.361685828386,82300.0,7.0,1300100.0,12500.96153846154,18972.842408965607,109300.0,29.0,9.0,0.0566879470809937,0.0789939235443427,0.2294438889316206,0.0287670179216983,0.2206753326667179,0.2852857472502115,0.0167679409276209,0.0642258287824013,0.0191523728943927,3,2026-03-07,home,0.0
134600.0,11216.666666666666,13869.140404349348,50300.0,7.0,1064100.0,11566.304347826086,15723.606436998904,82300.0,29.0,9.0,0.0522507283150079,0.1041255521097641,0.2422704633023212,0.0243398176863076,0.219152335306832,0.2457475801146508,0.028662719669204,0.0725495724086082,0.0109012310873038,3,2026-03-14,home,80.12606226589875
